id,criteria,ADMIN,STAFF,NAAC_COD,DEPT_COD,TEACHER,CLUB,OTHER,assigned_clubs,ordering,cr_index,is_active,is_enabled
2,c1_1_2,f,f,t,f,f,t,f,"{'"MINUTES_BOOK'": '"True'"}",102,1,t,t
3,c1_1_3,f,f,t,t,f,f,f,{},103,1,t,t
4,c1_2_1,f,f,t,f,f,t,f,"{'"MINUTES_BOOK'": '"True'"}",121,1,t,t
5,c1_2_2,f,f,t,f,f,f,f,{},122,1,t,t
6,c1_3_1,f,f,t,t,f,f,f,{},131,1,t,t
7,c1_3_2,f,f,t,f,f,t,f,"{'"DIRECTOR'": '"True'", '"MINUTES_BOOK'": '"True'"}",132,1,t,t
8,c1_3_3,f,f,f,t,f,f,f,{},133,1,t,t
9,c1_3_4,f,f,f,t,f,f,f,{},134,1,t,t
10,c1_4_1,f,f,t,f,f,f,f,{},141,1,t,t
11,c1_4_2,f,f,t,f,f,f,f,{},142,1,t,t
12,c2_1_1,f,f,t,f,f,t,f,"{'"SOFTWARE'": '"True'"}",211,2,t,t
13,c2_1_2,f,f,t,f,f,t,f,"{'"SOFTWARE'": '"True'"}",212,2,t,t
14,c2_1_3,f,f,t,f,f,t,f,"{'"SOFTWARE'": '"True'"}",213,2,t,t
15,c2_2_1,f,f,t,f,t,f,f,{},221,2,t,t
16,c2_2_2,f,f,t,f,f,t,f,"{'"SOFTWARE'": '"True'"}",222,2,t,t
17,c2_2_3,f,f,t,t,f,t,f,"{'"SOFTWARE'": '"True'"}",223,2,t,t
18,c2_3_1,f,f,f,t,t,f,f,{},231,2,t,t
19,c2_3_2,f,f,f,t,t,f,f,{},232,2,t,t
20,c2_3_3,f,f,f,t,f,f,f,{},233,2,t,t
21,c2_3_4,f,f,t,f,f,t,f,"{'"COE'": '"True'"}",234,2,t,t
22,c2_4_1,f,f,t,f,f,t,f,"{'"OFFICE'": '"True'"}",241,2,t,t
23,c2_4_2,f,f,t,f,f,t,f,"{'"OFFICE'": '"True'"}",242,2,t,t
24,c2_4_3,f,f,t,f,f,t,f,"{'"OFFICE'": '"True'"}",243,2,t,t
25,c2_4_4,f,f,t,t,t,f,f,{},244,2,t,t
26,c2_4_5,f,f,t,f,f,t,f,"{'"OFFICE'": '"True'"}",245,2,t,t
