id,name,code,description,status,established_at,approved_on,created_at,department_id,program_id
2,DISASTER MANAGEMENT,GAUD2F02T,DISASTER MANAGEMENT (GAUD2F02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,19,35
414,Zoology Core  Practical  III,GZOL6B16P,Zoology Core  Practical  III (GZOL6B16P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,17,7
458,MATERIAL SCIENCE,FCHE4E07,MATERIAL SCIENCE (FCHE4E07),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,3,26
565,PROJECT,FMST4P01,PROJECT (FMST4P01),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,16,31
670,VIVA VOCE,FZOL4V14,VIVA VOCE (FZOL4V14),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,17,28
3,INTELLECTUAL PROPERTY RIGHTS,GAUD3F04T,INTELLECTUAL PROPERTY RIGHTS (GAUD3F04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,19,35
4,GENDER STUDIES,GAUD4F06T,GENDER STUDIES (GAUD4F06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,19,35
5,MANAGEMENT THEORY AND PRACTICES,GBBA1B01T,MANAGEMENT THEORY AND PRACTICES (GBBA1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
6,MANAGERIAL 2,GBBA1C01T,MANAGERIAL 2 (GBBA1C01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
7,FINANCIAL ACCOUNTING,GBBA2B02T,FINANCIAL ACCOUNTING (GBBA2B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
8,MARKETING MANAGEMENT,GBBA2B03T,MARKETING MANAGEMENT (GBBA2B03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
9,BASIC NUMERICAL METHODS,GBBA3A01T,BASIC NUMERICAL METHODS (GBBA3A01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
10,PROFESSIONAL BUSINESS SKILLS,GBBA3A02T,PROFESSIONAL BUSINESS SKILLS (GBBA3A02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
11,CORPORATE ACCOUNTING,GBBA3B04T,CORPORATE ACCOUNTING (GBBA3B04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
12,FINANCIAL MANAGEMENT,GBBA3B05T,FINANCIAL MANAGEMENT (GBBA3B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
13,BUSINESS REGULATIONS,GBBA3C02T,BUSINESS REGULATIONS (GBBA3C02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
14,ENTREPRENEURSHIP DEVELOPMENT,GBBA4A03T,ENTREPRENEURSHIP DEVELOPMENT (GBBA4A03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
15,COST AND MANAGEMENT ACCOUNTING,GBBA4B06T,COST AND MANAGEMENT ACCOUNTING (GBBA4B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
16,COST & MANAGEMENT ACCOUNTING,GBBA4B07T,COST & MANAGEMENT ACCOUNTING (GBBA4B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
17,CORPORATE REGULATIONS,GBBA4C03T,CORPORATE REGULATIONS (GBBA4C03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
18,QUANTITATIVE TECHNIQUES  FOR BUSINESS,GBBA4C04T,QUANTITATIVE TECHNIQUES  FOR BUSINESS (GBBA4C04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
19,BUSINESS RESEARCH METHODS,GBBA5B07T,BUSINESS RESEARCH METHODS (GBBA5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
20,HUMAN RESOURCES MANAGEMENT,GBBA5B08T,HUMAN RESOURCES MANAGEMENT (GBBA5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
21,OPERATIONS MANAGEMENT,GBBA5B09T,OPERATIONS MANAGEMENT (GBBA5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
22,INCOME TAX,GBBA5B10T,INCOME TAX (GBBA5B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
23,FINANCIAL MARKETS AND INSTITUTIONS,GBBA5B11T,FINANCIAL MARKETS AND INSTITUTIONS (GBBA5B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
24,HOSPITALITY MANAGEMENT,GBBA5D01T,HOSPITALITY MANAGEMENT (GBBA5D01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
25,Organisational Behaviour,GBBA6B12T,Organisational Behaviour (GBBA6B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
26,Management Science,GBBA6B13T,Management Science (GBBA6B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
27,Project Management,GBBA6B14T,Project Management (GBBA6B14T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
